,time_step,value_na,value,anomalous,time,time_ms
0,1.0,69.98135519342291,69.98135519342291,0.0,2022-01-26 22:33:43.000000000,1643236423000
1,2.0,73.86420202910074,73.86420202910074,0.0,2022-01-26 22:52:02.559597015,1643237522559
2,3.0,62.32659414044731,62.32659414044731,0.0,2022-01-26 23:10:19.105405569,1643238619105
3,4.0,137.3043700319067,137.3043700319067,0.0,2022-01-26 23:28:37.535905123,1643239717535
4,5.0,108.64264942139171,108.64264942139171,0.0,2022-01-26 23:47:08.785188675,1643240828785
5,6.0,127.59084467645877,127.59084467645877,0.0,2022-01-27 00:05:39.075055599,1643241939075
6,7.0,140.7854313817854,140.7854313817854,0.0,2022-01-27 00:23:46.053547859,1643243026053
7,8.0,90.89369705119675,90.89369705119675,0.0,2022-01-27 00:42:17.180742979,1643244137180
8,9.0,95.30052241964782,95.30052241964782,0.0,2022-01-27 01:00:41.207519531,1643245241207
9,10.0,104.54060700621847,104.54060700621847,0.0,2022-01-27 01:18:53.449702024,1643246333449
10,11.0,126.87382758041322,126.87382758041322,0.0,2022-01-27 01:37:21.997910976,1643247441997
11,12.0,88.68741961423437,88.68741961423437,0.0,2022-01-27 01:55:39.946128130,1643248539946
12,13.0,121.23818752298735,121.23818752298735,0.0,2022-01-27 02:13:44.395876646,1643249624395
13,14.0,172.4109281517558,172.4109281517558,0.0,2022-01-27 02:31:47.666581154,1643250707666
14,15.0,102.38010793212729,102.38010793212729,0.0,2022-01-27 02:50:20.331485033,1643251820331
15,16.0,153.72252541545748,153.72252541545748,0.0,2022-01-27 03:08:41.114502907,1643252921114
16,17.0,97.35497738305047,97.35497738305047,0.0,2022-01-27 03:27:16.294785500,1643254036294
17,18.0,112.1571361782795,112.1571361782795,0.0,2022-01-27 03:45:23.195946932,1643255123195
18,19.0,130.5528084587786,130.5528084587786,0.0,2022-01-27 04:03:50.751659393,1643256230751
19,20.0,115.85285487529558,115.85285487529558,0.0,2022-01-27 04:22:06.458915949,1643257326458
